Rank,Title,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,# of Artist,Artist (Ind.),# of Nationality,Nationality,Continent,Points (Total),Points (Ind for each Artist/Nat),id,Song URL
96,Safe & Sound (feat. Joy Williams and John Paul White) (Taylor's Version),"Taylor Swift, Joy Williams, John Paul White",17/03/2023,0.41,0.312,-11.01,0.027,0.783,0.0,0.22,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,105,35.0,2RJnNdu4pb3MypbBroHU0T,https://open.spotify.com/track/2RJnNdu4pb3MypbBroHU0T
152,Nobody Gets Me,SZA,16/03/2023,0.358,0.284,-8285.0,0.029,0.805,0.0,0.276,Artist 1,SZA,Nationality 1,United States,Anglo-America,49,49.0,5Y35SjAfXjjG0sFQ3KOxmm,https://open.spotify.com/track/5Y35SjAfXjjG0sFQ3KOxmm
174,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,24/02/2023,0.247,0.299,-6083.0,0.032,0.899,0.0,0.172,Artist 1,Rihanna,Nationality 1,Barbados,Anglo-America,27,27.0,6sCvvleqKbeyOkQDieBYgp,https://open.spotify.com/track/6sCvvleqKbeyOkQDieBYgp
116,All of Me,John Legend,14/02/2023,0.422,0.264,-7064.0,0.032,0.922,0.0,0.331,Artist 1,John Legend,Nationality 1,United States,Anglo-America,85,85.0,3U4isOIWM3VvDubwSI3y7a,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
185,TV,Billie Eilish,09/02/2023,0.412,0.236,-15159.0,0.038,0.83,0.007,0.119,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,16,16.0,3GYlZ7tbxLOxe6ewMNVTkw,https://open.spotify.com/track/3GYlZ7tbxLOxe6ewMNVTkw
114,It's Beginning to Look a Lot like Christmas,Michael Bublé,27/12/2022,0.331,0.223,-11274.0,0.034,0.88,0.0,0.355,Artist 1,Michael Bublé,Nationality 1,Canada,Anglo-America,87,87.0,1rv46mRwDqMEhOBZ7vODg3,https://open.spotify.com/track/1rv46mRwDqMEhOBZ7vODg3
199,Have Yourself A Merry Little Christmas - Remastered 1999,Frank Sitra,26/12/2022,0.262,0.137,-15235.0,0.034,0.913,0.0,0.288,Artist 1,Frank Sitra,Nationality 1,France,Europe,2,2.0,2FPfeYlrbSBR8PwCU0zaqq,https://open.spotify.com/track/2FPfeYlrbSBR8PwCU0zaqq
62,The Christmas Song (Merry Christmas To You),Nat King Cole,26/12/2022,0.319,0.21,-15231.0,0.034,0.92,0.0,0.209,Artist 1,Nat King Cole,Nationality 1,United States,Anglo-America,139,139.0,4PS1e8f2LvuTFgUs1Cn3ON,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
82,White Christmas,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",26/12/2022,0.317,0.158,-16485.0,0.038,0.673,0.353,0.247,Artist 1,Bing Crosby,Nationality 1,United States,Anglo-America,119,40.0,4so0Wek9Ig1p6CRCHuINwW,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
80,Christmas Time Is Here,Vince Guaraldi Trio,25/12/2022,0.367,0.122,-21.34,0.032,0.984,0.0,0.104,Artist 1,Vince Guaraldi Trio,Nationality 1,United States,Anglo-America,121,121.0,3bMfUUpzUzqWp9II00yRhE,https://open.spotify.com/track/3bMfUUpzUzqWp9II00yRhE
48,Have Yourself A Merry Little Christmas,Sam Smith,25/12/2022,0.438,0.178,-9402.0,0.041,0.957,0.0,0.344,Artist 1,Sam Smith,Nationality 1,United Kingdom,Europe,153,153.0,1Qi2wh8fFgDV7tl4Sj3f2K,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
181,Have Yourself a Merry Little Christmas,Michael Bublé,25/12/2022,0.275,0.276,-11395.0,0.032,0.602,0.002,0.195,Artist 1,Michael Bublé,Nationality 1,Canada,Anglo-America,20,20.0,1DnSNqCQM3LUxqFuXt184Q,https://open.spotify.com/track/1DnSNqCQM3LUxqFuXt184Q
77,I'll Be Home for Christmas,Michael Bublé,25/12/2022,0.282,0.101,-14657.0,0.032,0.934,0.0,0.141,Artist 1,Michael Bublé,Nationality 1,Canada,Anglo-America,124,124.0,0tXPhc8LvM4dPvoRwI66XQ,https://open.spotify.com/track/0tXPhc8LvM4dPvoRwI66XQ
183,I'll Be Home For Christmas - Single Version,Bing Crosby,25/12/2022,0.24,0.097,-15167.0,0.034,0.707,0.0,0.178,Artist 1,Bing Crosby,Nationality 1,United States,Anglo-America,18,18.0,1fjOitI0vZ41P63p1MQLcc,https://open.spotify.com/track/1fjOitI0vZ41P63p1MQLcc
137,Merry Christmas Darling - Remix,Carpenters,25/12/2022,0.339,0.205,-15315.0,0.03,0.842,0.0,0.166,Artist 1,Carpenters,Nationality 1,United States,Anglo-America,64,64.0,0z5HSQGWgnjdNvwbOmhB2w,https://open.spotify.com/track/0z5HSQGWgnjdNvwbOmhB2w
197,O Come All Ye Faithful,Nat King Cole,25/12/2022,0.266,0.217,-11745.0,0.033,0.635,0.0,0.196,Artist 1,Nat King Cole,Nationality 1,United States,Anglo-America,4,4.0,0H1zX27yxoDrsrQA1hk5Uq,https://open.spotify.com/track/0H1zX27yxoDrsrQA1hk5Uq
194,Silent Night - 1999 Remaster,Frank Sitra,25/12/2022,0.252,0.118,-17.62,0.033,0.945,0.0,0.14,Artist 1,Frank Sitra,Nationality 1,France,Europe,7,7.0,5yNgdD8E6WruhULb4n2Con,https://open.spotify.com/track/5yNgdD8E6WruhULb4n2Con
177,When a Child Is Born,Johnny Mathis,25/12/2022,0.326,0.336,-12791.0,0.034,0.9,0.065,0.322,Artist 1,Johnny Mathis,Nationality 1,United States,Anglo-America,24,24.0,39CZ2qjYxtqUdTh8mqwqzy,https://open.spotify.com/track/39CZ2qjYxtqUdTh8mqwqzy
165,The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes,24/12/2022,0.341,0.181,-12073.0,0.037,0.888,0.0,0.212,Artist 1,Shawn Mendes,Nationality 1,Canada,Anglo-America,36,18.0,66VenHDtrQAw7FCjyF2J56,https://open.spotify.com/track/66VenHDtrQAw7FCjyF2J56
185,Happier Than Ever,Billie Eilish,05/12/2022,0.332,0.225,-8697.0,0.035,0.767,0.003,0.297,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,16,16.0,4RVwu0g32PAqgUiJoXsdF8,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
180,traitor,Olivia Rodrigo,01/12/2022,0.38,0.339,-7885.0,0.034,0.691,0.0,0.085,Artist 1,Olivia Rodrigo,Nationality 1,United States,Anglo-America,21,21.0,5CZ40GBx1sQ9agT82CLQCT,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
172,Labyrinth,Taylor Swift,28/11/2022,0.406,0.306,-15.48,0.052,0.785,0.488,0.122,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,29,29.0,0A1JLUlkZkp2EFrosoNQi0,https://open.spotify.com/track/0A1JLUlkZkp2EFrosoNQi0
189,Sweet Nothing,Taylor Swift,28/11/2022,0.337,0.156,-14919.0,0.052,0.964,0.0,0.39,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,12,12.0,0wavGRldH0AWyu2zvTz8zb,https://open.spotify.com/track/0wavGRldH0AWyu2zvTz8zb
185,Bigger Than The Whole Sky,Taylor Swift,16/11/2022,0.395,0.226,-12511.0,0.052,0.829,0.003,0.066,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,16,16.0,3jzbpOzoYa22FvzBkNkLvC,https://open.spotify.com/track/3jzbpOzoYa22FvzBkNkLvC
121,Before The Day Is Over,Joji,07/11/2022,0.393,0.305,-11372.0,0.046,0.765,0.001,0.15,Artist 1,Joji,Nationality 1,Jamaica,Anglo-America,80,80.0,7zBscbZUCr4jEABrfV9g03,https://open.spotify.com/track/7zBscbZUCr4jEABrfV9g03
198,Sparks,Coldplay,02/11/2022,0.371,0.268,-10506.0,0.028,0.748,0.052,0.165,Artist 1,Coldplay,Nationality 1,United Kingdom,Europe,3,3.0,7D0RhFcb3CrfPuTJ0obrod,https://open.spotify.com/track/7D0RhFcb3CrfPuTJ0obrod
93,Lift Me Up - Instrumental,Rihanna,28/10/2022,0.345,0.251,-14902.0,0.041,0.822,0.099,0.143,Artist 1,Rihanna,Nationality 1,Barbados,Anglo-America,108,108.0,1Jb0BvBueT6TBcZKIRWoJ6,https://open.spotify.com/track/1Jb0BvBueT6TBcZKIRWoJ6
129,The Car,Arctic Monkeys,21/10/2022,0.428,0.365,-11889.0,0.028,0.78,0.003,0.236,Artist 1,Arctic Monkeys,Nationality 1,United Kingdom,Europe,72,72.0,0C6dSPCqwKqwos6s1CrDrh,https://open.spotify.com/track/0C6dSPCqwKqwos6s1CrDrh
196,The 30th,Billie Eilish,02/08/2022,0.387,0.135,-14398.0,0.051,0.929,0.0,0.21,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,5,5.0,5SHpuW2qjkQtFRpE6P9Nks,https://open.spotify.com/track/5SHpuW2qjkQtFRpE6P9Nks
110,HEAL YOUR HEART (INTERLUDE),Brent Faiyaz,08/07/2022,0.287,0.332,-10.15,0.043,0.678,0.004,0.204,Artist 1,Brent Faiyaz,Nationality 1,United States,Anglo-America,91,91.0,6MF5JoJYj5uK07Si6fRAPM,https://open.spotify.com/track/6MF5JoJYj5uK07Si6fRAPM
156,ROLLING STONE,Brent Faiyaz,08/07/2022,0.462,0.273,-11768.0,0.062,0.903,0.0,0.334,Artist 1,Brent Faiyaz,Nationality 1,United States,Anglo-America,45,45.0,0e0JshRej2NwT7jahEmv52,https://open.spotify.com/track/0e0JshRej2NwT7jahEmv52
200,favorite crime,Olivia Rodrigo,29/06/2022,0.369,0.272,-10497.0,0.036,0.866,0.0,0.218,Artist 1,Olivia Rodrigo,Nationality 1,United States,Anglo-America,1,1.0,5JCoSi02qi3jJeHdZXMmR8,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
200,Tak Ingin Usai,Keisya Levronka,27/06/2022,0.49,0.398,-7712.0,0.027,0.815,0.0,0.136,Artist 1,Keisya Levronka,Nationality 1,Indonesia,Asia,1,1.0,1b0aDgrG775i4sPQgJGmkU,https://open.spotify.com/track/1b0aDgrG775i4sPQgJGmkU
177,Caroli - From The Motion Picture â€œWhere The Crawdads Singâ€,Taylor Swift,26/06/2022,0.476,0.189,-13777.0,0.033,0.904,0.0,0.324,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,24,24.0,4axSuOg3BqsowKjRpj59RU,https://open.spotify.com/track/4axSuOg3BqsowKjRpj59RU
196,Boyfriends,Harry Styles,15/06/2022,0.417,0.202,-10976.0,0.036,0.935,0.0,0.323,Artist 1,Harry Styles,Nationality 1,United Kingdom,Europe,5,5.0,6qj02zSeEJGWZ4c0dn5QzJ,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
193,Waiting For A Miracle,Post Malone,04/06/2022,0.491,0.278,-11.29,0.042,0.8,0.0,0.072,Artist 1,Post Malone,Nationality 1,United States,Anglo-America,8,8.0,2GUSz3vtf8jhVXri1CTrQX,https://open.spotify.com/track/2GUSz3vtf8jhVXri1CTrQX
142,"New Recording 12, Jan 3, 2020",Post Malone,03/06/2022,0.477,0.162,-15.34,0.055,0.927,0.0,0.211,Artist 1,Post Malone,Nationality 1,United States,Anglo-America,59,59.0,0lmRKkc33g1N9fWW9nZPVc,https://open.spotify.com/track/0lmRKkc33g1N9fWW9nZPVc
181,Crown,Kendrick Lamar,19/05/2022,0.355,0.245,-13475.0,0.036,0.801,0.0,0.162,Artist 1,Kendrick Lamar,Nationality 1,United States,Anglo-America,20,20.0,2IwbW2jd0Ncv99Aroe77Ru,https://open.spotify.com/track/2IwbW2jd0Ncv99Aroe77Ru
196,Something In The Way,Nirvana,12/05/2022,0.426,0.225,-12422.0,0.029,0.823,0.367,0.064,Artist 1,Nirvana,Nationality 1,United States,Anglo-America,5,5.0,2WL6GQzPuK9Nrpy9XwNEbz,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
199,birthday cake,Dylan Conrique,20/04/2022,0.436,0.255,-8623.0,0.036,0.955,0.0,0.15,Artist 1,Dylan Conrique,Nationality 1,United States,Anglo-America,2,2.0,7dDrR6vMK1JAwZZ5MIWgme,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme
195,I'm Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",01/04/2022,0.375,0.133,-10624.0,0.035,0.651,0.0,0.192,Artist 1,Labrinth,Nationality 1,United Kingdom,Europe,6,3.0,6LtHYDgYHRCHoKK3snfr2w,https://open.spotify.com/track/6LtHYDgYHRCHoKK3snfr2w
170,G3 N15,ROSALÍA,18/03/2022,0.499,0.069,-16364.0,0.052,0.965,0.0,0.1,Artist 1,ROSALÍA,Nationality 1,Spain,Europe,31,31.0,2MismgPSA3HxJUEV2pEl25,https://open.spotify.com/track/2MismgPSA3HxJUEV2pEl25
200,Arcade,Duncan Laurence,16/03/2022,0.453,0.35,-11639.0,0.043,0.827,0.001,0.279,Artist 1,Duncan Laurence,Nationality 1,Netherlands,Europe,1,1.0,1J14CdDAvBTE1AJYUOwl6C,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
199,It'll Be Okay,Shawn Mendes,07/03/2022,0.398,0.286,-11881.0,0.033,0.616,0.0,0.067,Artist 1,Shawn Mendes,Nationality 1,Canada,Anglo-America,2,2.0,2KnLkZ3z7PO3kgVGHGqDpD,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
194,Christmas Tree,V,16/02/2022,0.437,0.384,-8384.0,0.042,0.699,0.0,0.181,Artist 1,V,Nationality 1,South Korea,Asia,7,7.0,186NCtNk1tUYS7c2DxgJ7O,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
115,Watercolor Eyes - From â€œEuphoriaâ€ An HBO Origil Series,Lana Del Rey,27/01/2022,0.444,0.26,-10045.0,0.032,0.964,0.082,0.121,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,86,86.0,1G1R0XgChe18Zr1o6tlmN6,https://open.spotify.com/track/1G1R0XgChe18Zr1o6tlmN6
173,Silent Night,Michael Bublé,25/12/2021,0.24,0.124,-14542.0,0.031,0.959,0.024,0.113,Artist 1,Michael Bublé,Nationality 1,Canada,Anglo-America,28,28.0,6B14wYcEpWhyDvxWRb9Df8,https://open.spotify.com/track/6B14wYcEpWhyDvxWRb9Df8
181,The First Noël,Andy Williams,25/12/2021,0.208,0.184,-15.49,0.03,0.931,0.0,0.347,Artist 1,Andy Williams,Nationality 1,United States,Anglo-America,20,20.0,4r87anpJZfl5p6OsBZnrZs,https://open.spotify.com/track/4r87anpJZfl5p6OsBZnrZs
141,To Be Loved,Adele,01/12/2021,0.356,0.176,-8291.0,0.039,0.843,0.0,0.289,Artist 1,Adele,Nationality 1,United Kingdom,Europe,60,60.0,10ImcQk9tihY1EKMDIbvXJ,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
140,Strangers By ture,Adele,30/11/2021,0.387,0.253,-8901.0,0.034,0.798,0.0,0.134,Artist 1,Adele,Nationality 1,United Kingdom,Europe,61,61.0,13CVSGLSFl4UxpDVR6u3dq,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
196,I GUESS I'M IN LOVE,Clinton Kane,29/11/2021,0.422,0.34,-6577.0,0.035,0.877,0.0,0.223,Artist 1,Clinton Kane,Nationality 1,Norway,Europe,5,5.0,1is8gU4RVcN4J8xItxWoOY,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
194,Make You Feel My Love,Adele,22/11/2021,0.317,0.172,-10636.0,0.033,0.907,0.0,0.096,Artist 1,Adele,Nationality 1,United Kingdom,Europe,7,7.0,273QnyCvJB65rScHJ1nPZb,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb
148,exile (feat. Bon Iver),Taylor Swift,18/11/2021,0.298,0.38,-8426.0,0.029,0.778,0.0,0.152,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,53,53.0,4pvb0WLRcMtbPGmtejJJ6y,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
170,State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,16/11/2021,0.445,0.131,-13778.0,0.056,0.663,0.0,0.101,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,31,31.0,5jAIouBES8LWMiriuNq170,https://open.spotify.com/track/5jAIouBES8LWMiriuNq170
184,WFM,RealestK,10/11/2021,0.437,0.184,-17667.0,0.031,0.72,0.003,0.247,Artist 1,RealestK,Nationality 1,United States,Anglo-America,17,17.0,1DNA2z7Txysjk3cNz2nDLm,https://open.spotify.com/track/1DNA2z7Txysjk3cNz2nDLm
177,Visiting Hours,Ed Sheeran,05/11/2021,0.471,0.396,-6654.0,0.034,0.77,0.0,0.263,Artist 1,Ed Sheeran,Nationality 1,United Kingdom,Europe,24,24.0,0rt63HYAAIzUZo5O2D0uA6,https://open.spotify.com/track/0rt63HYAAIzUZo5O2D0uA6
195,Yebba's Heartbreak,"Drake, Yebba",11/09/2021,0.476,0.161,-11665.0,0.041,0.967,0.038,0.091,Artist 1,Drake,Nationality 1,Canada,Anglo-America,6,3.0,1PDP7mLiAMwhfmgIwzhOm2,https://open.spotify.com/track/1PDP7mLiAMwhfmgIwzhOm2
136,The Tradition,Halsey,27/08/2021,0.43,0.262,-7605.0,0.032,0.78,0.0,0.244,Artist 1,Halsey,Nationality 1,United States,Anglo-America,65,65.0,3e2bWR3uFw1utzl37g4z3S,https://open.spotify.com/track/3e2bWR3uFw1utzl37g4z3S
180,Stoned at the il Salon,Lorde,21/08/2021,0.466,0.113,-13325.0,0.041,0.947,0.0,0.104,Artist 1,Lorde,Nationality 1,New Zealand,Oceania,21,21.0,51dhTHnxNi215JiLXdyurb,https://open.spotify.com/track/51dhTHnxNi215JiLXdyurb
192,Big Star,Lorde,20/08/2021,0.325,0.047,-20674.0,0.049,0.973,0.0,0.282,Artist 1,Lorde,Nationality 1,New Zealand,Oceania,9,9.0,6Hgk1HQsWfx6VmivH45Csc,https://open.spotify.com/track/6Hgk1HQsWfx6VmivH45Csc
111,Fallen Fruit,Lorde,20/08/2021,0.478,0.284,-12.11,0.031,0.931,0.01,0.099,Artist 1,Lorde,Nationality 1,New Zealand,Oceania,90,90.0,1F4QwL9Rj3retjba8AmkfA,https://open.spotify.com/track/1F4QwL9Rj3retjba8AmkfA
200,Ruway,AURORA,17/08/2021,0.422,0.302,-9214.0,0.037,0.629,0.0,0.123,Artist 1,AURORA,Nationality 1,Norway,Europe,1,1.0,1v1oIWf2Xgh54kIWuKsDf6,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
197,my future,Billie Eilish,11/08/2021,0.456,0.285,-10755.0,0.098,0.814,0.143,0.081,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,4,4.0,3YUMWmx8EJq0DurfuIwoGh,https://open.spotify.com/track/3YUMWmx8EJq0DurfuIwoGh
199,Everybody Dies,Billie Eilish,04/08/2021,0.275,0.155,-17285.0,0.067,0.928,0.176,0.059,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,2,2.0,5jhBwnqzNNrENXnYrAdoCe,https://open.spotify.com/track/5jhBwnqzNNrENXnYrAdoCe
174,when the party's over,Billie Eilish,06/05/2021,0.367,0.111,-14084.0,0.097,0.978,0.0,0.198,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,27,27.0,43zdsphuZLzwA9k4DJhU0I,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
197,Unstable (feat. The Kid LAROI),Justin Bieber,07/04/2021,0.495,0.333,-10109.0,0.029,0.737,0.0,0.37,Artist 1,Justin Bieber,Nationality 1,Canada,Anglo-America,4,4.0,137mSruegm1u6x9NvwiagR,https://open.spotify.com/track/137mSruegm1u6x9NvwiagR
179,Lifetime,Justin Bieber,26/03/2021,0.48,0.274,-7083.0,0.032,0.771,0.0,0.332,Artist 1,Justin Bieber,Nationality 1,Canada,Anglo-America,22,22.0,10Z9RbwrTbQ0gQeNRJ2dC1,https://open.spotify.com/track/10Z9RbwrTbQ0gQeNRJ2dC1
183,White Dress,Lana Del Rey,22/03/2021,0.493,0.263,-12805.0,0.035,0.926,0.0,0.158,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,18,18.0,4Hl9rOqYomojCmxYfr25im,https://open.spotify.com/track/4Hl9rOqYomojCmxYfr25im
138,Dark But Just A Game,Lana Del Rey,19/03/2021,0.397,0.262,-14608.0,0.092,0.842,0.0,0.124,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,63,63.0,1dBBmAddRRIw6GwF7dPz6z,https://open.spotify.com/track/1dBBmAddRRIw6GwF7dPz6z
100,Tulsa Jesus Freak,Lana Del Rey,19/03/2021,0.387,0.339,-12962.0,0.049,0.918,0.003,0.273,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,101,101.0,0hyImI8JaWONOrzKH7kJsC,https://open.spotify.com/track/0hyImI8JaWONOrzKH7kJsC
134,Wild At Heart,Lana Del Rey,19/03/2021,0.397,0.206,-12487.0,0.039,0.947,0.0,0.27,Artist 1,Lana Del Rey,Nationality 1,United States,Anglo-America,67,67.0,5RJot1fR8C90lLXzHtUqpo,https://open.spotify.com/track/5RJot1fR8C90lLXzHtUqpo
169,Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,11/02/2021,0.343,0.243,-14.66,0.078,0.721,0.002,0.032,Artist 1,Billie Eilish,Nationality 1,United States,Anglo-America,32,32.0,0psS4i5YooJrXfDnGvWRLi,https://open.spotify.com/track/0psS4i5YooJrXfDnGvWRLi
196,champagne problems,Taylor Swift,26/01/2021,0.462,0.24,-12077.0,0.038,0.92,0.0,0.32,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,5,5.0,0sY6ZUTh4yoctD8VIXz339,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
198,tolerate it,Taylor Swift,28/12/2020,0.316,0.361,-10381.0,0.049,0.878,0.0,0.221,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,3,3.0,0PurA4JVJ8YQgSVopY8fn6,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6
110,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,25/12/2020,0.388,0.145,-19697.0,0.032,0.978,0.0,0.091,Artist 1,Vince Guaraldi Trio,Nationality 1,United States,Anglo-America,91,91.0,299lFlaAsNQdgbIZNPmIA0,https://open.spotify.com/track/299lFlaAsNQdgbIZNPmIA0
196,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,Norah Jones,25/12/2020,0.475,0.068,-20032.0,0.032,0.893,0.002,0.266,Artist 1,Norah Jones,Nationality 1,United States,Anglo-America,5,5.0,5DoGwwQAlYumpSSlDNMOwY,https://open.spotify.com/track/5DoGwwQAlYumpSSlDNMOwY
122,The First Noel - Remastered 1999,Frank Sitra,25/12/2020,0.176,0.153,-15969.0,0.037,0.956,0.0,0.157,Artist 1,Frank Sitra,Nationality 1,France,Europe,79,79.0,6keKIzkXWdbwJWMBJQUwYl,https://open.spotify.com/track/6keKIzkXWdbwJWMBJQUwYl
120,The Lighthouse Keeper,Sam Smith,25/12/2020,0.394,0.17,-10368.0,0.045,0.889,0.0,0.315,Artist 1,Sam Smith,Nationality 1,United Kingdom,Europe,81,81.0,2WUVQQAsWvScEdBVilRYaR,https://open.spotify.com/track/2WUVQQAsWvScEdBVilRYaR
183,Amazing Grace,"Andrew Andraos, Esprit Ange Andraos",18/12/2020,0.181,0.264,-8177.0,0.036,0.92,0.0,0.2,Artist 1,Andrew Andraos,Nationality 1,Canada,Anglo-America,18,9.0,71avPtayHSPwC2MUfRLOdC,https://open.spotify.com/track/71avPtayHSPwC2MUfRLOdC
153,evermore (feat. Bon Iver),Taylor Swift,18/12/2020,0.395,0.27,-10672.0,0.031,0.937,0.002,0.314,Artist 1,Taylor Swift,Nationality 1,United States,Anglo-America,48,48.0,0AaV4MJrgmLV3XhoiWXjjb,https://open.spotify.com/track/0AaV4MJrgmLV3XhoiWXjjb
