artist,song,text,polarity,mood
Yello,More,you give me love you give me fire you give me more give me desir you give me love you give me fire you give me more give me desir you give me love you give me fire you give me more give me desir you give me love you give me fire you give me more give me desir you give me fire love escap rhythm fever you give me fire give me desir i see your eye i ca n't escap a seriou case fever fever fever fever you give me love you give me fire you give me more give me desir you give me love you give me fire you give me more give me desir,0.5,happy
Journey,I'll Be Alright Without You,"i 've been think 'bout the time you walk out on me there were moment i 'd believ , you were there do i miss you , or am i lie to my self again i do these thing ... ( it 's all becaus of you ) i keep hold on , but i 'll tri ( tri not to think of you ) love do n't leav me lone i 'll be alright without you there 'll be someon els ... i keep tellin ' myself i 'll be alright without you oh ... love 's an empti face , i ca n't replac ( you do n't need it ) peopl wonderin ' whi we broke apart the great pretend here i go again these thing i do ( it 's all becaus of you ) i 'll keep holdin ' but i 'll tri ( tri not to think of you ) all i want wa to hold you i 'll be alright without you there 'll be someon els , i keep tellin ' myself i 'll be alright without you love 's an empti face ... oh i 've got to replac i 'll be alright without you there 'll be someon els , i keep tellin ' myself i 'll be alright without you oh ... love 's an empti place , i can still see your face i 'll be alright",0.5599999999999999,happy
Uriah Heep,Born In A Trunk,"you were born in a trunk everyon talkin ' about you you were born in a trunk where would they be without you ? you better move off the rail peopl begin to look subway you better move off the rail you wo n't even listen to my way , yeah i 'm livin ' in shame peopl say i do n't matter i 'm livin ' in shame yeah yeah , yeah yeah , yeah yeah you were born in a trunk everyon talkin ' about you you were born in a trunk where would they be without you ? you better move off the rail peopl begin to look subway you better move off the rail you wo n't even listen to my way",0.5,happy
Nazareth,I Ran,"we made a promis but what 's the differ call me friend , what you call for you could n't take me as i am but that wa onli parti chat , i ran . you ask me up here you said it wa `` gear '' so liverpool but we never understood the slang we could n't sing it like they sang but that wa carnabi excus , i ran . like rent-a-driv insur freeway you can never tell you can onli drive becaus experi turn the corner now see what happen when you leav it call me babi , how our love grow suprem simpl like babi , babi , babi you 're out of time shine , shine shine do n't call me shine but there 's no rhythm to your rhyme , i ran . like rent-a-driv insur freeway you can never tell you onli drive becaus experi turn the corner now see what happen when you break a promis but what 's the differ call me friend -- what you callin ' for you could n't take me as i am but that wa onli parti chat , i ran .",0.5,happy
P!nk,Feel Good Time,"doo doo doo doo doo doo doo doo doo doo doo doo we go where we like , we got over time we get paid to rattl our chain we go in the back , paint our money black spend it on the enemi sleepin ' in the church , ridin ' in the dirt put a banner over my grave make a bodi work , make a beggar hurt sell me somethin ' big and untam now our time real good time now our time ( now our time ) real good time now our time ( said now our time ) real good time ( it 's a realli good time ) ( babi , you 're mine ) we know how to pray , parti everi day make a desol of play ridin ' in a rut till the power cut we do n't even have a good name sleepin ' in the church , ridin ' in the dirt put a banner over my grave make a bodi work , make a beggar hurt sell me somethin ' big and untam now our time ( doo doo doo doo doo doo ) real good time ( doo doo doo doo doo doo ) now our time ( doo doo doo doo doo doo ) a real good time now our time ( now our time ) a real good time ( yeah , yeah , yeah ) ( babi , you 're mine ) doo doo doo doo doo doo doo doo doo doo doo doo now our time ( doo doo doo doo doo doo ) real good time ( doo doo doo doo doo doo ) now our time ( said now our time ) real good time ( it 's a realli good time ) now our time ( now our time ) real good time ( doo doo doo doo doo doo ) feel good , real good it 's the same old sayin ' feel good , feel good do n't got no brain feel good , real good it 's the same old sayin ' feel good , real good do n't have no brain ( i do n't got no brain ) babi , you 're mine",0.6297619047619046,happy
Amy Grant,Good For Me,you like to danc and listen to the music i like to sing with the band you like your hand splash in the ocean well i like me feet on the sand doe anybodi have it ani better ? is n't it easi to see just how well we fit togeth ? when i start to sing the blue you pull out my danc shoe i think you could be so good for me you get brave when i get shi just anoth reason whi i think you could be so good for me so good . you like to drive like mario andretti i like it take my time but let me say wherev you are go you know it suit me just fine doe anybodi have it ani better ? is n't it easi to see just how well we fit togeth ? when i start to sing the blue you pull out my danc shoe i think you could be so good for me you get brave when i get shi just anoth reason whi i think you could be so good for me so good . could be so good for me you could be so good could be so good could be so good for me . you get brave when i get shi anoth reason whi you could be so good for good for me babi good for me babi when i want to sing the blue good for me babi oh when i want to sing the blue good for me babi you could be so good good for me babi when i want to sing the blue good for me babi .,0.5553763440860213,happy
Loretta Lynn,Just Get Up And Close The Door,how can i be sure you 're be honest with me can i take your love for truth there come a time in everi woman 's life when she need a littl proof so show me someth differ someth i ai n't never seen befor thi time instead of gettin ' up and goin ' home to her just get up and close the door just get up and close the door and say you 'll stay with me tonight say you wo n't regret the morn light then i 'll believ the word of love you 've said to me befor if you 'll just get up and close the door thi time instead of gettin ' up and goin ' home to her just get up and close the door,0.5,happy
Paul McCartney,"Here, There And Everywhere","to lead a better life , i need my love to be here here , make each day of the year chang my life with the wave of her hand nobodi can , deni that there 's someth there there , run my hand through her hair both of think how good it can be someon is speak , but she doe n't know he 's there i want her everywher , and if she 's besid me i know i 'd need never care but to love her is to need her everywher , know that love is to share each one believ that love never die watch her eye , and hope i 'm alway there i want her everywher , and if she 's besid me i know i 'd need never care but to love her is to need her everywher , know that love is to share each one believ that love never die watch her eye , and hope i 'm alway there to be there and everywher here , there and everywher",0.5222222222222223,happy
Eurythmics,Kinky Sweetheart,"stay at home plug it in kiss the screen be a god i thought about it in the galleria liquid crystal like a man ray tear a shini surfac , velveteen queer bailey contrast , a luca idea i 've seen your set up and it 's perfect in form let 's call somebodi to connect both our arm you bring the orang i 'll bring the clock we 'll pay the dream polic to circl the block stay al home plug it in kiss the screen and be a god slay at home plug it in luck the screen and be a god",1.0,happy
Alan Parsons Project,You're On Your Own,"the mother and son relationship lead vocal : kiki dee do you know who i am do you know where you are are you where you want to be do you see what you like do you like what you see do you think a need in you can fulfil a need in me you 're on your own , you 're on your own in a no man 's land in a danger zone you 're on your own , you 're on your own and you ca n't turn back and you ca n't find your way home do you know who you are do you know what you want can you see me as i am do you think you 're a lion and i 'm a lamb that you came in here a boy and you 're go out a man you 're on your own , you 're on your own and there 's no way out of the danger zone you 're on your own , you 're on your own and your onli friend is a heart of stone and now you are alon my friend and i must set you free and you must face the world outsid and find your destini you 're on your own , you 're on your own in a no man 's land in a danger zone you 're on your own , you 're on your own and your onli friend ha a heart of stone you 're on your own , you 're on your own and there 's no way out of the danger zone you 're on your own , you 're on your own just a lone child and you ca n't find your way home",0.5555555555555555,happy
Enya,Only Time,"who can say where the road goe where the day flow , onli time and who can say if your love grow as your heart chose , onli time who can say whi your heart sigh as your love fli , onli time and who can say whi your heart cri when your love lie , onli time who can say when the road meet that love might be in your heart and who can say when the day sleep if the night keep all your heart night keep all your heart who can say if your love grow as your heart chose onli time and who can say where the road goe where the day flow , onli time who know ? onli time",0.5,happy
Willie Nelson,Always Now,it 's alway now and noth ever goe away everyth is here to stay and it 's alway now it 's alway now there never wa a use to be everyth is still with me and it 's alway now so brace your heart save yourself some saniti it 's more than just a memori and it 's alway now and here 's your part sing it like a melodi there 's realli onli you and me and it 's alway now so brace your heart save yourself some saniti it 's more than just a memori and it 's alway now and here 's your part sing it like a melodi there 's realli onli you and me and it 's alway now there 's realli onli you and me and it 's alway now,0.5,happy
Bing Crosby,How Lovely Is Christmas,"how love is christma with bough in the hall when bell ringl jingl and friend come to call how love is christma with joy on the wing while under your window the carol sing god rest ye , be merri give peac while you may rememb the child who wa born on thi day how love is christma with song in the air a bright merri christma dear friend everywher how love is christma with bough in the hall when bell ringl jingl and friend come to call how love is christma with joy on the wing while under your window the carol sing god rest ye , be merri give peac while you may rememb the child who wa born on thi day how love is christma with song in the air a bright merri christma dear friend everywher ( everywher )",0.6,happy
Rod Stewart,I Wish You Love,"i wish you bluebird in the spring to give your heart a song to sing and then a kiss but more than thi i wish you love and in juli a lemonad to cool you in some leafi glade i wish you health and more than wealth i wish you love my break heart and i agre that you and i could never be so with my best , my veri best i set you free i wish you shelter from the storm a cozi fire to keep you warm but most of all when snowflak fall i wish you love i wish you shelter from the storm a cozi fire to keep you warm but most of all when snowflak fall i wish you love",0.5678571428571428,happy
Michael Buble,It's Beginning To Look A Lot Like Christmas,"it 's begin to look a lot like christma ev'rywher you go , take a look in the five-and-ten , it 's glisten onc again with candi cane and silver lane that glow . it 's begin to look a lot like christma , toy in ev'ri store , but the prettiest sight to see is the holli that will be on your own front door . a pair of hop-along boot and a pistol that shoot is the wish of barney and ben , doll that will talk and will go for a walk is the hope of janic and jen , mom and dad can hardli wait for school to start again . it 's begin to look a lot like christma ev'rywher you go , there 's a tree in the grand hotel , one in the park as well , it 's the sturdi kind that doe n't mind the snow . it 's begin to look a lot like christma , soon the bell will start , and the thing that will make them ring is the carol that you sing right within your heart . it 's begin to look a lot like christma toy in ev'ri store , but the prettiest sight to see is the holli that will be on your own front door . sure it 's christma , onc a-mor",0.5142857142857143,happy
Marianne Faithfull,Strange One,"i should have known you were a strang one . you should have said that you do n't like to love . but you never told me no lie . do n't have to apolog . when everyth 's said and done , i wa the strang one . i should have known you were a strang one . you should have said i do n't want to love . but i never told you no lie . i do n't want to apolog , when everyth 's said and done , what can i do ? that boy 's in love with you . i should have seen it come , i should have known what to expect . i could be off and run , look for my respect . you do n't need to critic , you never did realiz , when everyth 's said and done , you were a strang one . you were a strang one . you were a strang one . you were a strang one .",0.5,happy
Chris Brown,I Love You Team Breezy,"i know everyon on thi planet wish that they had you i feel so bless babi listen now that i got you i know everi man probabl told you that he love you thi ai n't ordinari love song no thi ai n't no ordinari love song so i'mma say it in the stadium scream it like an anthem say it from the mountain top sing it like a favourit song i'mma put my card on the tabl for you [ choru : ] caus i love you eh and babi there 's noth in the world that i wo n't do for you oh i love you oh i got ta tell you about a million , trillion time babi you 're the best thing in my life put your hand on my heart ca n't you feel that boom boom boom onli one reason that it beat is for you in thi love game babi i play the fool thi is no ordinari love song no thi ai n't no ordinari love song so i'mma say it in the stadium scream it like a love song say it from the mountain top sing it like a favourit song i'mma put my card on the tabl for you [ choru : ] caus i love you eh and babi there 's noth in the world that i wo n't do for you oh i love you oh i got ta tell you about a million , trillion time babi you 're the best thing in my life for onc in my life onc in my life i can see it clearli caus you open my eye for onc in my life onc in my life i 'm that in my mind you 're the onli one for me babi ca n't you see ? oh oh , oh oh i 'm so oh , oh , oh [ choru : ] caus i love you eh and babi there 's noth in the world that i wo n't do for you oh i love you oh i got ta tell you about a million , trillion time babi you 're the best thing in my life",0.5043478260869565,happy
Indiana Bible College,Excellent,"vers 1 oh , oh , oh , oh all of the nation of the earth now rejoic all of the peopl of god sing hi prais everyth that hath breath shout for joy everyth that is beauti belong to you pre-choru all the earth is the lord everyth is your everyth is your you are excel choru how excel is your name how excel is your name how excel is your name all of the earth say bridg all the earth is your everyth is your you have creat all thing and made it good bridg 2 all the earth is your everyth is your",0.75,happy
Ellie Goulding,The Greatest,"[ vers 1 ] just you and me that true love , it wa taken away from us so young we 're summer kid without a song , we 're fade in to oblivion but we 're still the one [ pre-choru ] we got our guard up and we 're hung up on anoth loss i need to summon all these demon keep me on the floor but now we 're here and i am give everyth to you just say you need thi , say you need me , say you want thi too [ choru ] say you want thi too say you need thi too we 're the greatest get it like we do kill it like we do we 're the greatest no one doe it like we do [ vers 2 ] that sad kill do n't let the past dictat the way you play it now do n't play it down the time is now i know you 're feel what i feel , just let it show do n't let it go [ pre-choru ] somebodi somewher drive in their car is cri out forev run from the truth , sometim all we have is doubt but now we 're here and i am give all i can to you just say you love me , say you love me , say you want thi too [ choru ] say you want thi too say you need thi too we 're the greatest get it like we do kill it like we do we 're the greatest no one doe it like we do no one doe it like we do no one doe it like we do [ pre-choru ] somebodi somewher drive in their car is cri out forev run from the truth , sometim all we have is doubt but now we 're here and i am give all i can to you just say you love me , say you love me , say you want thi too [ choru ] say you want thi too say you need thi too we 're the greatest get it like we do kill it like we do we 're the greatest no one doe it like we do say you want thi too say you need thi too we 're the greatest get it like we do kill it like we do we 're the greatest no one doe it like we do",0.5580246913580247,happy
Cyndi Lauper,Love Me All Over,"ashitano tameni love me all over futarino tameni love is forev arekara doredak keshiki wo nagametar dakedo tabiwa tsuzukuyo sakiwa mienakutemo mouikanakya tsugino basho hikariyuku basho sugisaruhini kuyamanuyouni wasurenaitameni over and over ... over ... love me all over tatoeba soyokaz matouharumo tatoeba hizashi teritsuku natsumo i never forget ... forget ... love is forev tatoeba karehani ureuakimo tatoeba yukimichi ayumufuyumo takushit iinokana konoomoiwo kimini soshit kyoukarawa tomoni michiwo tsukuru taisetsunanowa nakanaiyori namida fuitaatosa kibouno tobira , aketeyuk mou hitorijanai start over ... over ... love me all over tatoeba utainagarani bokumo tatoeba egawotomoshit kimimo you never forget ... forget ... love is forev tatoeba deai tokimeku tokimo tatoeba sayonara tewo furuhimo i do n't want to compromis i want everyth that come with love take it or leav it that 's just the way that i feel ashitano tameni love me all over futarino tameni love is forev over and over ... over ... love me all over tatoeba soyokaz matouharumo tatoeba hizashi teritsuku natsumo i never forget ... forget ... love is forev tatoeba karehani ureuakimo tatoeba yukimichi ayumufuyumo start over ... over ... love me all over tatoeba utainagarani bokumo tatoeba egawotomoshit kimimo you never forget ... forget ... love is forev tatoeba deai tokimeku tokimo tatoeba sayonara tewo furuhimo over and over ... over ... love me all over i never forget ... forget ... love is forev start over ... over ... love me all over you never forget ... forget ... love is forev over and over ... over ... love me all over i never forget ... forget ... love is forev love me all over",0.5,happy
Lenny Kravitz,I Love The Rain,[ vers 1 ] the cloud are form she come again i 'll go and walk with her along the sein soon she 'll be storm here come the wind but that do n't bother me 'caus she 's my friend i love the rain i love the rain [ vers 2 ] i 've held our memori all of these year so mani good time and mani tear i share my dream with her i share my fear so i just walk with her until she veer off in the distanc i love the rain i love the rain i love i love i love the rain [ vers 3 ] oh just as she alway doe she ha to leav with her she take my heart into her breez sometim i think that she just like to teas still i 'll be wait for her repris i love the rain i love the rain i love the rain i love the rain i love the rain i love i love i love i love the rain oh yeah i love i love i love i love the rain oh yeah,0.5095238095238095,happy
Dolly Parton,Brave Little Soldier,"i 'm a brave littl soldier i must be bold and strong a brave littl soldier and i must carri on i 'm a brave littl soldier a brave littl soldier i 'm a brave littl soldier i must fight , i must win i 'm a brave littl soldier through hell and back again i 'm a brave littl soldier a brave littl soldier per rum , pum , pum per rum , pum , pum per rum , pum , pum , pum , pum ye though i am march through the valley fill with fear my step are sure and sturdi and my aim is straight and clear the enemi is stalk me just wait for the kill like david slew galiath i will claim thi battl field i 'm a brave littl soldier i must do what i can i 'm a brave littl soldier and i must make a stand i 'm a brave littl soldier a brave littl soldier march , march , march onward to the light of truth i did not start the war but it 's a battl i ca n't lose faith will be my armor and love my sword and shield i must defeat the enemi i will , i will , i will a brave littl soldier i must be bold and strong a brave littl soldier and i must carri on a brave littl soldier a brave littl soldier i 'm a brave littl soldier a brave littl soldier brave , littl soldier",0.6411111111111113,happy
Celine Dion,"Here, There And Everywhere","to lead a better life i need my love to be here ... here , make each day of the year chang my life with the wave of hi hand nobodi can deni that there 's somethin ' there there , run my hand through hi hair both of us think how good it can be someon is speak but he doe n't know she 's there [ choru ] i want him everywher and if he 's besid me i know i need never care but to love him is to need him everywher know that love is to share each one believ that love never die watch hi eye and hope i 'm alway there i 'll be there [ choru ] each one believ that love never die watch hi eye and hope i 'm alway there i will be there ... and everywher here , there and everywher",0.5285714285714286,happy
Cyndi Lauper,No One's Home,"leav me alon i 'm not home do n't hear your knock at the door i 'm run away so do n't call there 'll be no answer today there 's no one at home there 's no one at home oh there 'll be no one at home there 's no one at home oh oh oh there 'll be do n't ask me whi time goe by , i have n't heard from the wit no thing are play so do n't call me there 'll be no answer today there 's no one at home there 's no one at home oh there 'll be no one at home there 's no one at home oh there 'll be be better if i fall ... after all i 'm alway cri cri so would you catch me if i fell when there no one listen to hear what happen when i 'm all on my own leav me alon i 'm not home do n't hear your knock at the door i 'm run away so do n't call there 'll be no answer today there 's no one at home there 's no one at home oh there 'll be no one at home there 's no one at home oh there 'll be be better if i fall ... after all i 'm alway cri cri know if you catch me if i fell and there 's no one listen to hear what happen when i 'm all on my own no one at home no one at home no nah nah nah nah nah nah nah na no no hah hah no nah nah nah no no no no uh oh",0.55,happy
Overkill,Walk Through Fire,"wake a littl woozi , feel shitti overdon , overtir walk like you lose , just shitti wherev you go are you happi with the congreg ? do you find that you alway need more ? are you wish on a constel ? do you find that your throat 's alway sore ? you know what they need you know what they like you got them believ that all of it 's right one moment , one man one time doe the best he can one push and one desir one time to walk through fire got an itti , bitti , shitti , over now start the fire just enough piti left to start what you do n't want to know are you happi with your contribut ? do you find that you alway want more ? are you pray for the revolut ? look forward to your day in court you know what they need you know what they like you got them believ that all of it 's right one moment , one man one time doe the best he can one push and one desir one time to walk through fire one moment , one man one time doe the best he can one push and one desir one time to walk through fire you know what they need you know what they like you got them believ all one moment , one man one time doe the best he can one push and one desir one time to walk through fire one moment , one man one time doe the best he can one push and one desir one time to walk through fire",0.5974025974025974,happy
Hillsong,All Of My Days,"proclaim your awesom power , tell of mighti deed declar your futur kingdom of everlast peac and my eye , they look unto you alway and i am captur by your majesti all of my day i will sing of your great all of my day i will speak of your grace all of my day i will tell of your wondrou love your love in my life , your love all your work will prais you your children bless your name we speak of all your good we walk in field of grace and my eye , they look unto you alway and i am captur by your majesti all of my day i will sing of your great all of my day i will speak of your grace all of my day i will tell of your wondrou love your love in my life , your love all of my day i will sing of your great all of my day i will speak of your grace all of my day i will tell of your wondrou love your love in my life , your love we will sing of your good , my father we exalt you jesu , jesu and my eye , they look unto you alway and i am captur by your majesti and my eye , they look unto you alway and i am captur by your majesti all of my day i will sing of your great all of my day i will speak of your grace all of my day i will tell of your wondrou love your love in my life , your love all of my day i will sing of your great all of my day i will speak of your grace all of my day i will tell of your wondrou love your love in my life , your love your love in my life , your love your love in my life , your love your love in my life , your love your love in my life , your love hallelujah , yeah , my day ye",0.5633333333333332,happy
Quincy Jones,Get The Funk Out Of My Face,get the funk out ma face get the funk out ma face get the funk out ma face get the funk out ma face you do n't like my music you do n't have to use it funkin ' is a thing that all of us releas you do n't have to get it all you do is let it then you 'll know exactli how to groov you do n't like my music you do n't have to use it funkin ' is a thing that all of us releas you do n't have to play it you do n't have to say it you do n't even have to tri to sing it get the funk out ma face get the funk out ma face get the funk out ma face get the funk out ma face you do n't like my music you do n't have to use it funkin ' is a thing that all of us releas you do n't have to get it all you do is let it then tell us our funk did you some good,0.7,happy
Faces,Devotion,"so good to be with the peopl that know you . it 's good to hear the thing that they say , at time when you are with them . so good to note my strength is grow from day to day , there 's not a thing i tri to do without you troubl time of pain that come i take them ani old day . you come and you wash them all away everywher you sing in everyth , and i tri by rememb all the thing that you said to me , from within all you did for me . just one word .",0.5499999999999999,happy
Proclaimers,It Was Always So Easy (To Find An Unhappy Woman),i drove through the park and i search all the bar where i made out with love too mani time it wa alway so easi to find and unhappi woman till i start look for mine some beer drink devil is hold my angel and i know what he 'll do if he 's my kind it wa alway so easi to find an unhappi woman till i start look for mine the note on the door said i warn you befor what i 'd do if you cheat one more time . it wa alway so easi to find and unhappi woman till i start look for mine some beer drink devil is hold my angel and i know what he 'll do if he 's my kind it wa alway so easi to find an unhappi woman till i start look for mine,0.55,happy
